order,Sentence,hypo
4962,"I can't stand being a human. I no longer want to be, nor can still be, a man.",0
4965,Finding the piece of paper in this chunk of documents is like looking for a needle in a haystack.,1
4965,"I'm so drunk, I feel dizzy.",0
4973,I could live on these broccoli.,0
4978,Almost nothing could go wrong with his plan.,0
4980,Kilometric line at the cashier.,1
4987,"I resign from humanity. I no longer want to be, nor can still be, a man.",1
5000,To infinity and beyond Buzz.,1
5009,I swear he'd rather die of starvation than even take a whiff of it!,1
5023,"I am sure the spider was about to leap off the wall, latch onto my leg and bite me.",0
5027,Art is my stairway to heaven.,1
5028,Weight training is very good for you.,0
5029,"Well, you are unable to understand some things.",0
5042,Parents' affection is cosmic.,1
5046,The sight of them kissing is so gross that it makes me feel disgusted.,0
5049,The president said that the well-being of citizens is his guiding principle.,0
5057,"I swear, my teacher knows a lot.",0
5060,"That artist is a quiet person, she rarely speaks.",0
5064,"I swear, my teacher is omniscient.",1
5075,Love is blind.,1
5081,She has a magic touch I mean she fixes my problems.,1
5086,"Oh, you are very wet, monsieur.",0
5091,I'd rather pay dearly than miss a gym period.,0
5092,Masses of garbage reached so high that it lifted the roof.,1
5114,I am tormented day and night.,1
5117,It's so hot.,0
5124,Over my dead body are you meeting with them.,1
5124,I'm very envious.,0
5137,Tastiest roast of all times.,1
5143,Stop using onion in this recipe you terrible people.,0
5164,That man corrupts whatsoever he touches.,1
5178,He appeared like a descended god.,1
5186,I bet my life that you will laugh.,1
5194,It must be a dream!,1
5196,Another idea gone wasted.,0
5200,I wear my favourite t-shirt repeatedly.,0
5214,You're grumpy.,0
5215,I am in the middle of emotional turmoil.,0
5219,Chris won't drive her home because she lives very far.,0
5221,She shows no emotions: she has become a cold woman.,0
5224,I was very surprised.,0
5225,This is how to be attractive to women.,0
5233,Beauty draws with a single hair.,1
5238,The professor humiliated me in front of the class.,0
5241,"Even thinking back, it feels like living a fairy tail.",1
5259,This confection has been around for so long in my house.,0
5263,You'll read the book in a couple of days.,0
5265,Illusion is the ultimate weapon.,1
5267,Her beauty eclipsed the sun.,1
5268,His charisma magnetized us.,1
5273,"Wow, I'm dead from the neck up today.",1
5276,"Intellectually speaking, this city is almost as sterile as the Sahara Desert.",1
5281,Living with apprehensive parents is very limiting.,0
5281,I want to stop thinking about you.,0
5292,My admiration for him is deep as the ocean.,1
5300,He has a very impressive knowledge about the impressionists.,0
5301,The resources are very small.,0
5305,Democrats and Republicans will not agree on a tax reform bill!,0
5327,Don't make a big deal about little things. There are worse problems than that around here.,0
5334,Your judgement at this point is worth less than nothing.,1
5339,Needs must when the devil drives.,1
5339,His ambitious hunger moves him to a very large attempt.,0
5354,Bittersweet nectar flows in great abundance.,0
5357,His hand is as cold as an ice box.,1
5361,I avoid saying "never" at any point in my life.,0
5362,Too much work makes me feel tired.,0
5365,Bring these bad people to the Palace of Justice.,0
5369,The house is the size of a postage stamp.,1
5376,"I tried to explain myself, but she doesn't want to listen.",0
5385,We all laughed at the joke.,0
5392,She'll erupt when she finds out that her brother left.,1
5392,He is so majestic.,0
5394,"When you get emotional, your brain sort of short-circuits.",1
5401,The pictures prove that the poor country is in a very bad situation.,0
5408,We've been here many times.,0
5409,"She smiled at me, I almost fell out of my chair.",1
5414,This drink makes you grow wings.,1
5417,I am sitting here with pride.,0
5423,Loud applause followed the performance.,0
5424,Old Mr. Smith has been teaching here since the Stone Age.,1
5437,My powers are beyond your mortal imagination.,1
5442,I'm going to get upset.,0
5458,"This blog is my harem, where my innermost secrets are shared.",1
5459,The little girl was drowning in her tears.,1
5489,This croissant improved my day.,0
5497,I am trying to solve a million issues these days.,1
5497,"I'm very colorful today, I'm wearing a yellow t-shirt and red trousers.",0
5498,You guys are both less than zero help.,1
5506,They go about together like Siamese twins.,1
5507,Precisely nothing could go wrong with his plan.,1
5524,Let me see an abyss of knowledge.,1
5570,My stomach is very bloated.,0
5571,"Getting older helped me clarify the events of my childhood, without exceptions.",1
5576,The study of beauty is a duel in which the artist cries out in terror.,1
5576,"My aunt is so fat that when she walks by the TV, I miss three shows.",1
5578,Ice-cream stops you from feeling bored.,0
5579,Her anger radiated like a nuclear explosion.,1
5591,I'll see him become very nervous!,0
5597,You could see she was very scared.,0
5599,Too many clothes in this Indian Summer and I am suddenly in a bath of sweat.,1
5601,"His teeth would uncover, and shine savage like the furnaces.",1
5620,In my family every birthday is a big event.,0
5628,My professor is a volcano of ideas.,1
5636,He was skinny enough to jump through a keyhole.,1
5638,We used to be as little independent as a flock of sheep.,1
5642,Being in debt makes my muscles itch.,1
5655,Granma was a harsh school girl who made kids behave. She was a real paint-remover.,1
5658,He lives far away - a large distance from here.,0
5659,That girl is a marionette who is manipulated by what she sees on TV.,1
5659,I have a severe headache.,0
5660,"He hurts everybody, he has a sharp knife instead of a tongue.",1
5660,In my family every birthday is a national holiday.,1
5662,It'll just - bam! - hit me like lightning.,1
5665,Finding the piece of paper in this chunk of documents is nearly impossible.,0
5680,My oral exam was very quick. I was done soon after entering the classroom.,0
5685,"By the time Alf finishes his story, a lot of time will have passed.",0
5690,She has a nice sense about her.,0
5695,You should sunbathe! You look pale!,0
5716,"Trust him, he's more faithful than the rising sun.",1
5725,"Sorry, I forgot my head at home.",1
5728,"When you get emotional, your brain looses its normal thinking abilities.",0
5731,Many questions were asked to us.,0
5731,She's drinking heavily.,0
5732,The task was of too herculean a nature to be accomplished within four years.,1
5742,He groaned as if he was hurt.,0
5744,"Nate discovered the reason why she's still single, despite many suitors.",0
5783,"I just can't seem to forget him, I keep on thinking about him.",0
5787,You will give a good first impression without a doubt.,1
5802,The resources are pitifully small.,1
5805,The massages at the spa are miraculous.,1
5806,"He had a great reputation as an orator, and is characterized by Ennius as ""the quintessence of persuasiveness"".",1
5817,"Speech is good, but silence is better.",0
5824,His feet are colder than the arctic.,1
5836,The tourists will soak up any information you give them.,1
5840,This musician is an expert at playing guitar.,0
5846,This meal is decadent!,0
5851,"If this character was a real person, I'd break every bone in his body.",1
5859,"His classmates laughed at him, saying he had a pea-sized brain.",1
5865,After workout I feel I could lift a sumo wrestler.,1
5876,Marta is pathologically unpunctual to her appointments.,1
5877,The availability of data is likely to lead to a large amount of statistical analysis.,0
5881,His nose is very big.,0
5897,"I'm dying of hunger, I would eat a horse.",1
5901,"By the time Alf finishes that story, his beard will be three inches longer.",1
5906,The chance of your friend seeing us is very small.,0
5917,Reading dog food labels is often like reading hieroglyphics.,1
5919,The blood flowing from the boy's tooth covered the tiled floor.,1
5922,She is miserable.,0
5923,John's new idea is a theoretical diamond.,1
5939,The president said that the well-being of citizens is his North Star.,1
5941,My whole sense of being had been shattered by an emotional earthquake.,1
5948,It's been a lifetime since I found someone nice to me.,1
5950,You're charged with high treason for telling mom I didn't have lunch!,1
5962,I'm burning of envy.,1
5964,That idea makes him feel very worried.,0
5969,Bikers coming from behind you are a danger on the roads.,0
5973,Guess you've not many thoughts.,0
5975,The sins of the people would weight so heavy upon the land that the whole town would collapse.,1
5982,His charisma captivated us.,0
5982,Our fight has been going on for a long time.,0
5986,"Even thinking back, it feels like living a wonderful situation.",0
5988,Looking for a featherweight tripod.,1
5991,There are cascades of clothes in my wardrobe!,1
5991,Life is rushing by like a river in flood.,1
5999,Such an unscrupulous person...he's disrespectful.,0
6014,John has a divine smile.,1
6018,That idea is eating away at him.,1
6019,Living with you has its ups and downs but it's worth the thrill.,0
6019,My dog can run very fast.,0
6021,I don't work without coffee: it's my lifeblood.,1
6021,The most fun you'll ever have.,1
6023,Your words are poison.,1
6034,"The coffee was really good, but it cost me a lot of money.",0
6034,They were gone quickly.,0
6045,"She's bothered by dust, so she's frequently cleaning the house.",0
6046,Jack Marshall wouldn't hurt a fly.,1
6055,I felt fireworks in my brain when I set foot in the candy shop.,1
6062,My sister uses so much makeup; she broke a chisel trying to get it off last night!,1
6067,Every flavor is dynamite.,1
6079,"I do not lie, I'm a teller of the truth.",0
6096,Hyperbole is the greatest thing in the history of the universe.,1
6107,Parents' affection is special.,0
6118,"It's so hot, it feels like I'm in a sauna.",1
6125,I can conquer the world with you by my side.,1
6126,"His teeth would uncover, and shine very bright.",0
6140,And it is a tiny mouthful of heaven.,1
6154,The title is very descriptive.,0
6156,Punctuality is the soul of business.,1
6158,You're making a mountain out of a molehill.,1
6161,"Dresden was kind of the moon, nothing but minerals.",1
6162,"Me, the wife of that boorish, brainless man.",1
6167,The old man is very old.,0
6172,It is unfair how the media is mistreating the ten year old boy.,0
6185,"Your plan is too risky, it's a suicide.",1
6191,Lots of people are coming to my birthday party.,0
6197,Why do we have so many forks and no spoons?,0
6203,No matter what anybody says you will always be important to me.,0
6210,"Right now, with the sword hanging over my head, I don't have any kind of financial support.",1
6212,They witnessed a beautiful place on this very same earth.,0
6216,His new computer program is very difficult for me to understand.,0
6230,I felt an explosion of flavor in my mouth.,1
6253,"She has so many watches, she'd need eight arms to wear them all.",1
6257,My powers are difficult to understand.,0
6266,Your indifference is tearing me apart.,1
6268,My sister uses so much makeup; she had difficulty trying to get it off last night!,0
6269,You should sunbathe! You look white as a ghost!,1
6275,They were laughing to death.,1
6284,I'd love to hang out eight days a week.,1
6294,"I would buy it, if it did not cost an arm and a leg!",1
6296,I love you with all my heart.,0
6304,It was a sudden rush of fragrances.,0
6320,"To some, AI is beginning to generate complicated problems.",0
6322,The best education systems don't necessarily dole out a lot of homework to students.,0
6328,You can tell the judge how you made it disappear.,0
6332,I am crushed by a corrupt and criminal justice system.,1
6348,This is one beautiful panorama.,0
6349,"When everyone went home for holidays, the campus became deserted.",0
6350,ABU is hypnotically drawn to it.,1
6358,My dog is really ugly.,0
6364,He has the charisma of a traffic cone.,1
6375,People hang on your every word.,1
6378,My admiration for him is profound.,0
6381,He is more aged than the hills.,1
6385,This discovery is very precious to young scientists.,0
6388,Their latest album blasted its way up the charts.,1
6394,She shows no emotions: she has become an iceberg of a woman.,1
6394,He tolerated my annoying questions. That man is patient.,0
6397,I would give my life for a coffee.,1
6405,"You must come out of bed, I've walked a thousand miles to spend some time with you.",1
6412,Doesn't change the fact that we're up to our necks in muck.,1
6414,The secretary had a lot of paperwork.,0
6426,Every one of her drawings is a rapture for the eyes.,1
6426,You're being stalked by a person who drains your emotions.,0
6445,"You know, the world could end before I'd let something happen to you.",1
6448,I'm sure you are another Mother Teresa.,1
6454,This croissant made my day.,1
6463,I'm sure you are a good person.,0
6466,People tend to do what he wants.,0
6467,She orders my ideas.,0
6473,"When sorrows come, they come not single but in battalions.",1
6476,They are unlike any other olives out there.,1
6488,This confection has been around a few centuries in my house.,1
6493,My sister is intelligent.,0
6495,The secretary is very servile.,0
6509,He thinks that the affectual bonds prevalent in the older world has been lessened by modernity.,0
6517,Ours is the world's favourite airline.,1
6527,He saw how angry she was.,0
6537,The pictures prove that the poor country has turned into hell.,1
6559,She can't see but darkness: she's desperate.,1
6560,I lost my sense of humor a long time ago.,0
6561,These are the proofs of the invincible smartness of the human race.,1
6579,"It's so dark, a bat couldn't see in this room.",1
6583,She felt a number of emotions.,0
6583,Let's be best friends for the whole of our lives.,0
6592,I don't like to see you eating pineapple pizza. It hurts my Italian heart.,0
6595,"Insolent boy, I'll slash you to ribbons!",1
6616,Needs must when you are being desperate.,0
6619,Anna cried blood tears before obtaining her bachelor's degree.,1
6623,The story hit the web and inflamed the chat sites.,1
6644,I can find not many words to describe my admiration.,0
6647,I would give my possessions for a pot of ale.,1
6658,Every flavor is strong.,0
6660,The mail was taking on Alpine proportions.,1
6661,Johnny was very fond of the ground Dallas walked on.,0
6666,"My best friend is so forgetful, I have to remind her of many things.",0
6681,He was born with crystal bones.,1
6685,The ancient castle was so big that it took a lot of time to walk from one end to the other.,0
6710,His shout could split rocks.,1
6710,"Since you stopped partying, you're boring.",0
6712,Be silent as a ninja.,1
6716,I'll persevere till the stars drop from the sky.,1
6718,I can make a delicious pesto.,0
6728,One picture is sufficient to convey so much!,0
6755,It is enough to frighten you.,0
6756,"Come on, I'm a vault of secrecy.",1
6759,Football is all he cares about.,1
6768,They are a stingy family. There are like trillions of savings under one roof!,1
6775,No one knows her. She's very mysterious.,0
6795,The new king'll be adored.,0
6796,I am tormented often.,0
6821,I feel like I'm going to burst.,1
6824,"Once I get her tuned up, this old car will go like greased lightning.",1
6833,Boys will happily do accept challenges for you.,0
6839,His studded jacket is drilling in his body.,1
6843,"Of the two brothers, the oldest was unquestionably the smartest.",1
6849,We used to have very little independence.,0
6854,He has as many debts as a dog has fleas.,1
6854,The poetry will spring up magnificent.,0
6855,This dirty money we're using to finance the campaign is a risk!,0
6865,I could smell his hellish breath.,1
6865,Cowards do not live their lives to the fullest.,0
6873,I'll tell you a tale of the immense blue that is the ocean.,0
6892,"I mean, you have the kind of talent that I admire.",0
6899,Better be out of the world than out of the fashion.,1
6906,John is very clumsy.,0
6912,"I tried to explain myself, but she is a waxy-eared person.",1
6921,This restaurant sums up the neighborhood which is home to many hipsters!,0
6924,Your mom is very fat!,0
6929,"When my dog waves, his tail it causes hurricanes.",1
6929,I'm not staying here one more minute!,1
6933,I've been reading "The little prince" since I was a kid.,0
6934,She thinks avocado tastes like compost heaps.,1
6950,My evening jog with Bill turned into a long run.,0
6954,No one follows the rules in this office. It's a jungle.,1
6974,"That artist is a wordless person, she rarely speaks.",1
6975,He is very old.,0
6981,"I only step on your toe, don't make a federal case out of it.",1
6987,"When everyone went home for holidays, the campus became a ghost town.",1
6992,His bark is very loud.,0
6993,My ex boyfriend! Treacherous snake!,1
6999,"I'm half dead, for Christ's sake!",1
7022,Inviting my mother-in-law to stay here is a recipe for disaster.,1
7036,This year the new fashion trends spread quickly.,0
7038,Your body is beautiful.,0
7041,And it tastes very good.,0
7041,I would really like a pot of ale.,0
7047,John was called "the elephant of the class" for his clumsiness.,1
7051,Another idea burst into flames.,1
7054,I must impose chains upon myself.,1
7064,A player who can stop our team from winning the championship does not exist.,1
7075,Scientists are far away from understanding the human brain.,0
7084,This spray will fill your days with the freshness of the ocean breeze.,1
7088,The president has fought really hard to be reelected.,0
7090,This is a must buy!,1
7091,He walked down the road without any destination.,0
7099,The level of discombobulation in the realm of global politics is very high.,0
7104,A friend of mine brought the chips into work with the claim "these are excellent".,0
7116,"Julia is shy but when it comes to fashion business, she's a war machine.",1
7143,"Wow, I'm not functioning as well as I usually do today.",0
7147,The mall is large enough to have its own zip code.,1
7151,Our fight has been going on since the beginning of time.,1
7163,My little sister moves around me. She's my follower.,0
7169,We all cracked up at the joke.,1
7171,"He looked at the glass, and lowered his lips to that oasis of moisture.",1
7171,He was born with fragile bones.,0
7177,"Oh, you are soaked to the bone, monsieur.",1
7177,He drank a tanker of milk very quickly.,0
7179,She gave a deadly glare at the people making fun of her.,1
7188,Marriage is the end of love.,0
7191,"Don't touch a woman, not even lightly.",0
7192,"Set a beggar on horseback, and he will ride far.",0
7194,Her hair is very long.,0
7195,Technology annihilates humanity.,1
7198,She met my dad and then got taken quickly off to so many different countries.,0
7210,My dad'll be very angry when he finds out that I wrecked his car.,0
7218,"This blog is my personal place, where my innermost secrets are shared.",0
7220,I'm sold!,1
7221,Sacrificed my french fries to his monstrous appetite.,1
7229,The secretary was hitting the keyboard trying to finish the report.,0
7230,His eyes were very dark.,0
7238,Anna worked really hard before obtaining her bachelor's degree.,0
7243,A sea of people surrounded the stage.,1
7250,A day was really exhausting.,0
7252,That chocolate melts in your mouth like a single snowflake in the palm of your hand.,1
7257,"I now embrace ""Hollywood"" endings, but there was a time when I genuflected to kill-offs.",1
7263,You are very unreasoning persons.,0
7266,His bark breaks the sound barrier.,1
7278,"We've been dealing with it for months, and months and months.",1
7279,I will make it difficult for you to meet him.,0
7282,He's a wrecking ball for the future of the Party.,1
7282,You guys are of no help.,0
7295,My granpa snores louder than a faulty engine.,1
7300,They cooked a turkey the size of a cow.,1
7308,My mother is a tyrant.,1
7308,"When you open the map, you know a lot about the city.",0
7320,The air I breathe in a room empty of you is unhealthy.,1
7333,I'd love to hang out every day.,0
7340,This is a tough situation. You're having a lot of pressure.,0
7345,Swamps of people are coming to my birthday party.,1
7353,Shuttling between conferences over the past years has been an overwhelming enterprise.,0
7354,The player is very talented.,0
7362,Life goes in a little bit of time.,0
7377,You're a grumpy bear.,1
7382,He's light.,0
7383,"Right now, in this risky situation, I don't have any kind of financial support.",0
7384,I've seen this movie many times.,0
7396,I simply fell in love with these chips and refused to share them with my friends.,1
7396,Hope deferred makes one sad.,0
7400,The eye of a master is expert.,0
7420,"Well, you've got an empty head.",1
7428,"My best friend is so forgetful, I sometimes have to remind her what her name is.",1
7440,It is unthinkable to love and be wise.,1
7441,One winter was so cold that the snow turned blue.,1
7465,Sarah is completely lacking any sense of humor.,1
7467,He groaned as if he was being crushed.,1
7475,The veteran proclaimed he had strong legs.,0
7484,"Well, dear, her hostess would reply with a cold smile.",0
7524,Sleeping on this pillow is sleeping on a cloud.,1
7535,"Their headmaster was omnipresent, as he seemed to be all around the school all the time.",1
7538,They were laughing hard.,0
7540,It's time to stop living in such a passive manner.,0
7543,He eats a lot of junk food.,0
7549,The blood flowing from the boy's tooth dropped on the tiled floor.,0
7550,You could see she was scared to death.,1
7555,Peter's essay constituted yet another infinite monologue.,1
7558,My evening jog with Bill turned into a marathon.,1
7559,Those criminals are feasting on violence.,1
7559,He's the worst man on earth.,1
7577,You don't ever listen to me.,1
7579,"This book is a masterpiece, it is excellent!",0
7583,She can make me follow her with one word from her lips.,1
7585,John's new idea is very valuable.,0
7602,Changing your favorite team is like breaking a promise.,0
7604,Sometimes asking feels like firewalking.,1
7618,This new brand is unmistakable.,1
7622,This policy will be a problematic one for the country.,0
7641,He's my favourite person in the world. The rest is not important.,0
7644,"I heard you possess good vision, Mister.",0
7647,I did not suspect it would be so good: this book is wonderful.,0
7648,He has a watermelon instead of a belly.,1
7653,Look how grown up!Only yesterday you were on your tricycle.,1
7660,With a word she can get what she came for.,1
7665,I worked very hard.,0
7673,All these parties are expensive.,0
7676,The global crisis has seen prices skyrocket over the past week.,1
7690,I apologized profusely.,0
7693,She had a graceful glow about her.,0
7701,These flowers are really awesome!,0
7718,That child is the devil incarnate.,1
7732,All these parties will break my bank.,1
7742,The news has been blown out of all proportion.,1
7766,That lawyer's words are really harsh.,0
7792,"Move, there's no time.",1
7799,New York is right place for him.,0
7799,I don't want to stop looking at her.,0
7800,It's unfair how the media is martyrizing the ten year old boy.,1
7813,"That joke is so old, the last time I heard it was many years ago.",0
7820,I felt very happy when I set foot in the candy shop.,0
7826,She will have no shortage of boyfriends.,0
7830,And with all this romantic atmosphere disaster's in the air.,1
7832,Once I would open the bag I would not want to stop eating.,0
7835,I am without many words.,0
7836,My dog can run faster than a thunderbolt.,1
7837,She is very helpful I mean she fixes my problems.,0
7841,Making drastic choice is useful for an adventurous life.,0
7851,Getting older helped me clarify some childhood memories.,0
7858,The mall is very large.,0
7859,He's my favourite person in the world. The rest is drips.,1
7866,Your predictions were right. You have a third eye.,1
7873,The new shampoo is ten times better than the other.,1
7873,rope - oppurtunity,0
7888,I was deeply sorry.,0
7895,I really want a coffee.,0
7896,Most of the businesses here are already facing financial hardships because of the economy.,0
7921,He told his family not to forget that he is the head of his house.,0
7924,I went into the shop and we bought a lot of things.,0
7936,An idle brain is the devil's workshop.,1
7961,These people would follow you.,0
7966,"Julia is shy but when it comes to fashion business, she's a hard worker.",0
7974,"She is only a puppet, acting on the directives of her friends.",1
7984,"I can't let go now, I'm deeply engrossed in this.",0
7990,Satisfaction pleases me.,0
7995,"When I was young, my family was my role model.",0
7996,"And his sensibility, oh, he must be very sensitive.",0
7999,April is the cruelest month.,1
7999,Your shoes are expensive.,0
8008,Your judgement at this point is worthless.,0
8021,"You are a vision of loveliness, darling!",1
8028,My tongue is a piece of sandpaper.,1
8029,"This steak is so rare, I think I heard it moo.",1
8030,Saying the entire campaign is ill-informed because you disagree with one point is losing valuable things to get rid of what is not wanted.,0
8036,The waiting has been endless.,1
8036,They will kneel before his talent.,1
8037,You are slower than a snail.,1
8048,He tolerated my annoying questions. That man is a saint.,1
8055,"Apparently, my fingers are made of butter tonight.",1
8060,"Nate discovered the reason why she's still single, despite a legion of suitors.",1
8061,This policy will plunge the country into a chaos.,1
8064,A man can have a belly you could house a commercial aircraft in.,1
8077,They are a stingy family. There are a lot of savings under one roof!,0
8082,The boy is an Adonis...and he knows it.,1
8092,This room is very hot.,0
8095,The bad sides are so overpowering that she can't see anything else.,1
8096,I would recognize my sisters from a long distance.,0
8099,What she touches turns to gold.,1
8123,"You know, I'll take care of you.",0
8133,"If you leave me, I'll erase you.",1
8136,Admit that you're a traitor.,0
8175,He only has garbage in his brain.,1
8178,Saying the entire campaign is ill-informed because you disagree with one point is throwing out the baby with the bathwater.,1
8182,I worked hard to get you through college.,0
8187,"Trust him, he's faithful.",0
8196,That is great music I hear.,0
8208,I do not live well without you.,0
8209,I thought I'd found sugar-free chocolate nirvana at first taste.,1
8212,You have no conception of the quantity of miserable feeling that passes through me in a day.,1
8216,Her eyes were very gray and sharp.,0
8218,"You are not a fully-grown man, you are very silly.",0
8221,The act of love strongly resembles torture.,1
8223,The true meaning of decadence can be found in this meal!,1
8223,After lunch I was full to overflowing.,1
8251,I'm begging! Give me the last piece of the cake.,1
8251,The temperature was low.,0
8259,"She's bothered by dust, so she's unceasingly cleaning the house.",1
8259,We must fight with great force.,0
8259,The new shampoo is much better than the other.,0
8260,Boys will gladly go to war for you.,1
8261,Anna's cooking is good.,0
8271,The sins of the people are very severe.,0
8276,Masses of garbage reached so high that it touched the roof.,0
8281,Daisy Buchanan is Gatsby's grail that he fails to possess.,1
8284,Your kindness astounds me.,0
8286,Fools rush in where angels fear to tread.,1
8287,"The coffee was really good, but it costed me my monthly money.",1
8291,"He is so majestic, when he wears a yellow shirt people yell: ""Hey taxi!""",1
8299,Your body is a wonderland.,1
8304,No offence but she's dumb.,0
8308,His mother is very apprehensive and is very protective of him.,0
8312,The waiting has been too long.,0
8313,I do not breathe without you.,1
8326,If I tried to carry all that cargo in my head it would make me stoop-shouldered.,1
8336,"That said, I'm on the precipice of doom.",1
8347,Art is my peace of mind.,0
8353,The princess' lips are red.,0
8371,"As a father, in this moment, I am overwhelmed by pain.",0
8376,The chance of your friend seeing us is astronomically small.,1
8377,He drank a tanker of milk as if he was a drain.,1
8390,The old driver arrived not a second too soon.,1
8395,This restaurant sums up the neighbour in all its hipster glory!,1
8400,This drink gives you an energy lift.,0
8405,He eats a mountain of junk food.,1
8417,It was a gust of fragrances.,1
8417,"You did something dangerous, boy.",0
8425,The girl is not relevant.,0
8426,I thought I'd found an amazing sugar-free chocolate at first taste.,0
8427,The professor destroyed me in front of the class.,1
8427,The pain was excruciating.,0
8430,A friend of mine brought the chips into work with the claim "these will change your life".,1
8434,My sisters mean a lot to me.,0
8448,"I'm moving, all my stuff's in this luggage.",0
8451,I just got hit by a lot of cramps.,0
8452,The meal I prepared contains a million calories!,1
8456,He's a terrible person.,0
8460,She is sinking in a sea of misery.,1
8460,"Me, the wife of that boorish, unwise man.",0
8494,We were getting trapped with no way out.,0
8495,They cooked a big turkey.,0
8500,I am truly American.,0
8508,Johnny was fearful.,0
8523,"The noise was so great, that it was heard in a long distance.",0
8525,The big bells as loud as the thunder.,1
8528,It's wrong to steal a pin.,0
8535,Her anger radiated strongly.,0
8538,The flower of poetry will spring up toward God.,1
8543,The sight of them kissing is so gross that it makes me want to puke.,1
8544,Ours is a favorite airline of many people in the world.,0
8544,Its golden roofs are very bright.,0
8548,She was weak after months of nursing her sick husband.,0
8555,The girl is no one.,1
8556,I felt my ribs hurt while laughing.,0
8558,It's very hot.,0
8566,I am being harmed by a criminal and corrupt justice system.,0
8577,Your room is a jungle!,1
8586,"You get into that University, you won't make it.",0
8618,He is a good dog who goes to church.,1
8620,A watched pot seems to take a long time to boil.,0
8621,This is one breathtaking panorama.,1
8625,The tourists will take in any information you give them.,0
8630,"When pale and silent, I enter alone upon the stubble field.",0
8630,I've had to make a new beginning from the bad outcome of my choices.,0
8650,I liked these chips and refused to share them with my friends.,0
8661,We must obey my mother's whims! We respect her power!,0
8671,Her strength awoke in poets an abiding love.,0
8673,I'm dissolving into a puddle.,1
8676,Christmas will take a long time to come.,0
8679,Professors read a boatload of essays.,1
8688,She's a difficult person to work with because she is very direct when conversing.,0
8693,"You've made me very happy, Rita.",0
8696,It'll just - bam! - hit me hard.,0
8707,She smiled at me and I was surprised.,0
8712,The availability of data is likely to lead to a veritable orgy of statistical analysis.,1
8716,Ice-cream saves human beings from boredom.,1
8720,Junk food is the one thing they'll buy in large quantities.,0
8731,Don't strain at gnats and swallow camels. There are worse problems than that around here.,1
8731,"You must come out of bed, I've walked a long way to spend some time with you.",0
8734,"Two years ago, I entered into the fashion world.",0
8742,The best education systems don't necessarily dole out piles of homework to students.,1
8756,My face is definitely not at my best today.,0
8758,There are big ketchup fans out there.,0
8781,Sky is falling.,1
8785,"During the debate, the president treated reporters and photographers badly.",0
8809,Your words are very damaging.,0
8811,They were in a daze when arguing with that manipulator.,0
8812,"My dog is so ugly, we had to pay the fleas to live on him.",1
8813,We picked up a bottle once on a trip and were blown away!,1
8816,"I'm sure the spider was about to leap off the wall, latch itself onto my leg and start gnawing me.",1
8816,Newspapers only contain garbage and dirt.,1
8820,"When spectre-like, I enter alone upon the stubble field.",1
8829,Her smoldering eyes still scorch my soul.,1
8843,His studded jacket is tight on his body.,0
8849,Her skin was whiter than snow.,1
8849,I can smell pizza from a long distance.,0
8851,I sold my soul to the Devil to get you through college.,1
8861,Satisfaction floods into my veins.,1
8870,I can see you've lost your mind.,1
8878,I depend on my green tea fix each morning!,1
8882,Scientists are light years away from understanding the human brain.,1
8893,I am really sorry.,0
8897,Life is a place where we fight to cure ourselves.,0
8898,"And he was rich - yes, very rich.",0
8915,I wear my favourite t-shirt day in day out.,1
8917,I've been reading "The little prince" since I was knee-high to a grasshopper.,1
8924,Life is rushing by very quickly.,0
8928,Shopping exhausted me today.,0
8937,She enters my brain and cleans the mess.,1
8938,There's no index and the story isn't linear: this book is illegible.,1
8938,Music is important to me.,0
8938,"At that point, the presidency was hard to recover.",0
8942,She's drinking like tomorrow doesn't exist.,1
8948,I have a headache the size of Texas.,1
8956,Your shoes can buy a bungalow.,1
8960,"Oh, my mother, if you cough somewhere in Siberia she'll hear you.",1
8967,"I'm so drunk, the world spinning around.",1
8969,"I would buy it, if it did not cost that much!",0
8971,"Stop using onion in this recipe, you dregs of mankind.",1
8975,Her boyfriend would obey her commands like a tame pet.,1
8986,My bank account is almost empty.,0
9024,Grandpa is very old.,0
9030,Tastiest roast I've had.,0
9031,I've got sorrow in my heart.,0
9035,"I'm quite imperturbable, only UFO can rock me.",1
9048,"Your mom is so fat, I could slap her thigh and ride the wave!",1
9050,I feel excited.,0
9059,It is the last straw that breaks the camel's back.,1
9059,I have negative feelings in the day.,0
9091,I know this place like the back of my hand.,1
9091,She's a dictator in our house.,1
9100,Knowledge without conscience is but the ruin of the soul.,1
9103,There are ketchup die hard fans out there.,1
9107,"Precious, self-contained, and solitary.",0
9113,My nephew is moving heaven and earth.,1
9118,I am exceedingly sorry.,1
9123,Love these very much!,0
9131,Daisy Buchanan is Gatsby's target that he fails to possess.,0
9136,She ran the whole gamut of emotions.,1
9148,In that library they have forests of books.,1
9148,My hair is very straight.,0
9160,I'll persevere for a long time.,0
9201,The buyer has need of a hundred eyes.,1
9211,Living with you is a rollercoaster but it's worth the thrill.,1
9218,I don't want to miss the party.,0
9228,Such an unscrupulous person...he's a pig.,1
9229,Jason would rather keep going than lose face by pulling out.,0
9241,The princess' lips shame the red rose.,1
9245,Nothing's impossible!,1
9260,Her strength awoke in poets a love that is eternal.,1
9267,Seeing you again - my life seems to stop there.,1
9294,We must fight with the force of a typhoon.,1
9294,Even a baby could pass that test!,1
